3dmol 2.5.4
@radix-ui/react-popover 1.1.15
@radix-ui/react-popper 1.2.8
@radix-ui/react-portal 1.1.9
@radix-ui/react-presence 1.1.5
@radix-ui/react-primitive 2.1.3
@radix-ui/react-roving-focus 1.1.11
@radix-ui/react-slot 1.2.3
@radix-ui/react-use-callback-ref 1.1.1
@radix-ui/react-use-controllable-state 1.2.2
@radix-ui/react-use-effect-event 0.0.2
@radix-ui/react-use-escape-keydown 1.1.1
@radix-ui/react-use-layout-effect 1.1.1
@radix-ui/react-use-previous 1.1.1
@radix-ui/react-use-rect 1.1.1
@radix-ui/react-use-size 1.1.1
@radix-ui/rect 1.1.1
@rollup/pluginutils 5.3.0
@segment/analytics-core 1.8.2
@segment/analytics-generic-utils 1.2.0
@segment/analytics-next 1.82.0
@segment/analytics-page-tools 1.0.0
@segment/analytics.js-video-plugins 0.2.1
@segment/facade 3.4.10
@segment/isodate 1.0.3
@segment/isodate-traverse 1.1.1
@sentry-internal/browser-utils 10.28.0
@sentry-internal/browser-utils 10.29.0
@sentry-internal/feedback 10.28.0
@sentry-internal/feedback 10.29.0
@sentry-internal/replay 10.28.0
@sentry-internal/replay 10.29.0
@sentry-internal/replay-canvas 10.28.0
@sentry-internal/replay-canvas 10.29.0
@sentry/browser 10.28.0
@sentry/browser 10.29.0
@sentry/core 10.28.0
@sentry/core 10.29.0
@sentry/electron 7.5.0
@sentry/node 10.29.0
@sentry/node-core 10.29.0
@sentry/opentelemetry 10.29.0
@serialport/binding-mock 10.2.2
@serialport/bindings-cpp 12.0.1
@serialport/bindings-interface 1.2.2
@serialport/parser-byte-length 12.0.0
@serialport/parser-cctalk 12.0.0
@serialport/parser-delimiter 11.0.0
@serialport/parser-delimiter 12.0.0
@serialport/parser-inter-byte-timeout 12.0.0
@serialport/parser-packet-length 12.0.0
@serialport/parser-readline 11.0.0
@serialport/parser-readline 12.0.0
@serialport/parser-ready 12.0.0
@serialport/parser-regex 12.0.0
@serialport/parser-slip-encoder 12.0.0
@serialport/parser-spacepacket 12.0.0
@serialport/stream 12.0.0
@shikijs/core 3.20.0
@shikijs/core 3.23.0
@shikijs/engine-javascript 3.20.0
@shikijs/engine-oniguruma 3.20.0
@shikijs/langs 3.20.0
@shikijs/themes 3.20.0
@shikijs/transformers 3.23.0
@shikijs/types 3.20.0
@shikijs/types 3.23.0
@shikijs/vscode-textmate 10.0.2
@standard-schema/spec 1.1.0
@statsig/client-core 3.32.6
@statsig/js-client 3.32.6
@statsig/react-bindings 3.32.6
@tanstack/devtools-event-client 0.4.0
@tanstack/form-core 1.27.7
@tanstack/pacer-lite 0.1.1
@tanstack/query-core 5.90.5
@tanstack/query-devtools 5.91.1
@tanstack/react-form 1.27.7
@tanstack/react-query 5.90.5
@tanstack/react-query-devtools 5.91.1
@tanstack/react-store 0.8.0
@tanstack/react-table 8.21.3
@tanstack/store 0.7.7
@tanstack/store 0.8.0
@tanstack/table-core 8.21.3
@types/connect 3.4.38
@types/d3 7.4.3
@types/d3-array 3.2.2
@types/d3-axis 3.0.6
@types/d3-brush 3.0.6
@types/d3-chord 3.0.6
@types/d3-color 3.1.3
@types/d3-contour 3.0.6
@types/d3-delaunay 6.0.4
@types/d3-dispatch 3.0.7
@types/d3-drag 3.0.7
@types/d3-dsv 3.0.7
@types/d3-ease 3.0.2
@types/d3-fetch 3.0.7
@types/d3-force 3.0.10
@types/d3-format 3.0.4
@types/d3-geo 3.1.0
@types/d3-hierarchy 3.1.7
@types/d3-interpolate 3.0.4
@types/d3-path 3.1.1
@types/d3-polygon 3.0.2
@types/d3-quadtree 3.0.6
@types/d3-random 3.0.3
@types/d3-scale 4.0.9
@types/d3-scale-chromatic 3.1.0
@types/d3-selection 3.0.11
@types/d3-shape 3.1.7
@types/d3-time 3.0.4
@types/d3-time-format 4.0.3
@types/d3-timer 3.0.2
@types/d3-transition 3.0.9
@types/d3-zoom 3.0.8
@types/debug 4.1.13
@types/estree 1.0.8
@types/geojson 7946.0.16
@types/geojson-vt 3.2.5
@types/hast 3.0.4
@types/hoist-non-react-statics 3.3.6
@types/mdast 4.0.4
@types/ms 2.1.0
@types/mysql 2.15.27
@types/node 20.19.37
@types/node 22.19.0
@types/pbf 3.0.5
@types/pg 8.15.6
@types/pg-pool 2.0.6
@types/react 19.2.14
@types/react 19.2.2
@types/react-dom 19.2.3
@types/react-reconciler 0.28.9
@types/supercluster 7.1.3
@types/tedious 4.0.14
@types/trusted-types 2.0.7
@types/unist 3.0.3
@ungap/structured-clone 1.3.0
@upsetjs/venn.js 2.0.0
@xterm/addon-clipboard 0.1.0
@xterm/addon-fit 0.10.0
@xterm/addon-web-links 0.11.0
@xterm/xterm 5.5.0
abort-controller 3.0.0
accepts 2.0.0
acorn 8.16.0
acorn-import-attributes 1.9.5
agent-base 7.1.3
ajv 8.17.1
ajv-formats 3.0.1
anser 2.3.5
ansi-regex 5.0.1
ansi-regex 6.2.2
ansi-styles 4.3.0
ansi-styles 6.2.3
aria-hidden 1.2.6
async-lock 1.4.1
async-sema 3.1.1
attributes-parser 2.2.3
available-typed-arrays 1.0.7
bail 2.0.2
balanced-match 1.0.2
base64-js 1.5.1
baseline-browser-mapping 2.9.17
bessel 1.0.2
better-sqlite3 12.9.0
bindings 1.5.0
bippy 0.5.32
bl 4.1.0
body-parser 2.2.0
body-parser 2.2.2
boolbase 1.0.0
brace-expansion 2.0.2
browserslist 4.28.1
buffer 5.7.1
buffer 6.0.3
bufferutil 4.1.0
bytes 3.1.2
call-bind 1.0.8
call-bind-apply-helpers 1.0.2
call-bound 1.0.4
caniuse-lite 1.0.30001765
capnweb 0.7.0
ccount 2.0.1
character-entities 2.0.2
character-entities-html4 2.1.0
character-entities-legacy 3.0.0
cheap-ruler 4.0.0
chevrotain 11.0.3
chevrotain 12.0.0
chevrotain-allstar 0.3.1
chevrotain-allstar 0.4.1
chownr 1.1.4
cjs-module-lexer 1.4.3
clean-git-ref 2.0.1
cli-truncate 4.0.0
cliui 8.0.1
clsx 2.1.1
cmdk 1.1.1
codemirror 6.0.2
color-convert 2.0.1
color-name 1.1.4
comma-separated-tokens 2.0.3
commander 14.0.3
commander 7.2.0
commander 8.3.0
confbox 0.1.8
confbox 0.2.2
content-disposition 1.0.0
content-type 1.0.5
convert-source-map 2.0.0
cookie 0.7.2
cookie 1.0.2
cookie-signature 1.2.2
core-util-is 1.0.3
cors 2.8.5
cose-base 1.0.3
cose-base 2.2.0
crc-32 1.2.2
crelt 1.0.6
cross-spawn 7.0.6
css-select 5.1.0
css-what 6.1.0
csscolorparser 1.0.3
csstype 3.1.3
csstype 3.2.3
cytoscape 3.33.1
cytoscape-cose-bilkent 4.1.0
cytoscape-fcose 2.2.0
d 1.0.2
d3 7.9.0
d3-array 2.12.1
d3-array 3.2.4
d3-axis 3.0.0
d3-brush 3.0.0
d3-chord 3.0.1
d3-color 3.1.0
d3-contour 4.0.2
d3-delaunay 6.0.4
d3-dispatch 3.0.1
d3-drag 3.0.0
d3-dsv 3.0.1
d3-ease 3.0.1
d3-fetch 3.0.1
d3-force 3.0.0
d3-format 3.1.0
d3-geo 3.1.1
d3-hierarchy 3.1.2
d3-interpolate 3.0.1
d3-path 1.0.9
d3-path 3.1.0
d3-polygon 3.0.1
d3-quadtree 3.0.1
d3-random 3.0.1
d3-sankey 0.12.3
d3-scale 4.0.2
d3-scale-chromatic 3.1.0
d3-selection 3.0.0
d3-shape 1.3.7
d3-shape 3.2.0
d3-time 3.1.0
d3-time-format 4.1.0
d3-timer 3.0.1
d3-transition 3.0.1
d3-zoom 3.0.0
dagre-d3-es 7.0.11
dagre-d3-es 7.0.13
dagre-d3-es 7.0.14
date-fns 4.1.0
dayjs 1.11.18
dayjs 1.11.20
debug 4.3.4
debug 4.4.3
decimal.js 10.6.0
decode-named-character-reference 1.3.0
decompress-response 6.0.0
deep-extend 0.6.0
define-data-property 1.1.4
delaunator 5.0.1
depd 2.0.0
dequal 2.0.3
detect-libc 2.1.2
detect-node-es 1.1.0
devlop 1.1.0
diff 8.0.3
diff3 0.0.3
docx-preview 0.3.7
dom-serializer 2.0.0
domelementtype 2.3.0
domhandler 5.0.3
dompurify 3.3.0
dompurify 3.3.3
domutils 3.2.2
dset 3.1.4
dunder-proto 1.0.1
earcut 3.0.2
ee-first 1.1.1
electron-context-menu 4.1.1
electron-dl 4.0.0
electron-is-dev 3.0.1
electron-to-chromium 1.5.267
emoji-regex 10.6.0
emoji-regex 8.0.0
encodeurl 2.0.0
encoding 0.1.13
end-of-stream 1.4.5
entities 4.5.0
es-define-property 1.0.1
es-errors 1.3.0
es-object-atoms 1.1.1
es5-ext 0.10.64
es6-iterator 2.0.3
es6-symbol 3.1.4
es6-weak-map 2.0.3
esbuild 0.25.11
escalade 3.2.0
escape-goat 4.0.0
escape-html 1.0.3
escape-string-regexp 5.0.0
esniff 2.0.1
estree-walker 2.0.2
estree-walker 3.0.3
etag 1.8.1
event-emitter 0.3.5
event-target-shim 5.0.1
events 3.3.0
eventsource 3.0.7
eventsource-parser 3.0.6
execa 5.1.1
expand-template 2.0.3
express 5.1.0
express 5.2.1
express-rate-limit 7.5.1
express-rate-limit 8.4.1
exsolve 1.0.7
ext 1.7.0
ext-list 2.2.2
ext-name 5.0.0
extend 3.0.2
fast-deep-equal 3.1.3
fast-uri 3.1.0
file-uri-to-path 1.0.0
finalhandler 2.1.0
for-each 0.3.5
forwarded 0.2.0
forwarded-parse 2.1.2
frac 1.1.2
framer-motion 12.23.24
fresh 2.0.0
fs-constants 1.0.0
function-bind 1.1.2
fuse.js 7.1.0
gensync 1.0.0-beta.2
geojson-vt 4.0.2
get-caller-file 2.0.5
get-east-asian-width 1.4.0
get-intrinsic 1.3.0
get-nonce 1.0.1
get-proto 1.0.1
get-stream 6.0.1
github-from-package 0.0.0
gl-matrix 3.4.4
globals 15.15.0
gopd 1.2.0
grid-index 1.1.0
hachure-fill 0.5.2
has-property-descriptors 1.0.2
has-symbols 1.1.0
has-tostringtag 1.0.2
hasown 2.0.2
hast-util-to-html 9.0.5
hast-util-whitespace 3.0.0
he 1.2.0
highlight.js 11.11.1
hoist-non-react-statics 3.3.2
hono 4.12.15
html-void-elements 3.0.0
http-errors 2.0.0
human-signals 2.1.0
iconv-lite 0.6.3
iconv-lite 0.7.0
ieee754 1.2.1
ignore 5.3.2
immediate 3.0.6
immer 10.1.3
import-in-the-middle 2.0.0
inherits 2.0.4
ini 1.3.8
internmap 1.0.1
internmap 2.0.3
intl-messageformat 10.7.18
iobuffer 5.4.0
ip-address 10.1.0
ipaddr.js 1.9.1
is-callable 1.2.7
is-fullwidth-code-point 3.0.0
is-fullwidth-code-point 4.0.0
is-plain-obj 1.1.0
is-plain-obj 4.1.0
is-promise 2.2.2
is-promise 4.0.0
is-stream 2.0.1
is-typed-array 1.1.15
isarray 1.0.0
isarray 2.0.5
isexe 2.0.0
isexe 3.1.1
isomorphic-git 1.37.5
isomorphic.js 0.2.5
jose 6.1.3
jotai 2.19.0
jotai-effect 2.2.3
jotai-tanstack-query 0.11.0
js-base64 3.7.8
js-cookie 3.0.1
js-tokens 4.0.0
jsesc 3.1.0
json-loose 1.2.4
json-schema-traverse 1.0.0
json-schema-typed 8.0.2
json5 2.2.3
jstat 1.9.6
jszip 3.10.1
katex 0.16.45
kdbush 4.0.2
khroma 2.1.0
kleur 3.0.3
kolorist 1.8.0
langium 3.3.1
langium 4.2.2
layout-base 1.0.2
layout-base 2.0.1
lib0 0.2.117
lie 3.3.0
local-pkg 1.1.2
lodash 4.17.21
lodash-es 4.17.21
lodash-es 4.18.1
longest-streak 3.1.0
loose-envify 1.4.0
lru-cache 5.1.1
lru-queue 0.1.0
lru_map 0.4.1
make-cancellable-promise 2.0.0
make-event-props 2.0.0
mapbox-gl 3.21.0
markdown-table 3.0.4
marked 16.4.1
marked-directive 1.0.7
martinez-polygon-clipping 0.8.1
math-intrinsics 1.1.0
mdast-util-find-and-replace 3.0.2
mdast-util-from-markdown 2.0.3
mdast-util-gfm 3.1.0
mdast-util-gfm-autolink-literal 2.0.1
mdast-util-gfm-footnote 2.1.0
mdast-util-gfm-strikethrough 2.0.0
mdast-util-gfm-table 2.0.0
mdast-util-gfm-task-list-item 2.0.0
mdast-util-phrasing 4.1.0
mdast-util-to-hast 13.2.1
mdast-util-to-markdown 2.1.2
mdast-util-to-string 4.0.0
media-typer 1.1.0
memoize-one 6.0.0
memoizee 0.4.17
merge-descriptors 2.0.0
merge-refs 2.0.0
merge-stream 2.0.0
mermaid 11.12.0
mermaid 11.14.0
micromark 4.0.2
micromark-core-commonmark 2.0.3
micromark-extension-gfm 3.0.0
micromark-extension-gfm-autolink-literal 2.1.0
micromark-extension-gfm-footnote 2.1.0
micromark-extension-gfm-strikethrough 2.1.0
micromark-extension-gfm-table 2.1.1
micromark-extension-gfm-tagfilter 2.0.0
micromark-extension-gfm-task-list-item 2.1.0
micromark-factory-destination 2.0.1
micromark-factory-label 2.0.1
micromark-factory-space 2.0.1
micromark-factory-title 2.0.1
micromark-factory-whitespace 2.0.1
micromark-util-character 2.1.1
micromark-util-chunked 2.0.1
micromark-util-classify-character 2.0.1
micromark-util-combine-extensions 2.0.1
micromark-util-decode-numeric-character-reference 2.0.2
micromark-util-decode-string 2.0.1
micromark-util-encode 2.0.1
micromark-util-html-tag-name 2.0.1
micromark-util-normalize-identifier 2.0.1
micromark-util-resolve-all 2.0.1
micromark-util-sanitize-uri 2.0.1
micromark-util-subtokenize 2.1.0
micromark-util-symbol 2.0.1
micromark-util-types 2.0.2
mime-db 1.52.0
mime-db 1.54.0
mime-types 2.1.35
mime-types 3.0.1
mimic-fn 2.1.0
mimic-response 3.1.0
minimatch 9.0.5
minimist 1.2.8
minimisted 2.0.1
mkdirp-classic 0.5.3
mlly 1.8.0
module-details-from-path 1.0.4
moo 0.5.3
motion-dom 12.23.23
motion-utils 12.23.6
ms 2.1.2
ms 2.1.3
murmurhash-js 1.0.0
napi-build-utils 2.0.0
negotiator 1.0.0
netcdfjs 3.0.0
new-date 1.0.3
next-tick 1.1.0
node-abi 3.89.0
node-addon-api 3.2.1
node-addon-api 7.0.0
node-addon-api 7.1.1
node-addon-api 8.5.0
node-fetch 2.7.0
node-gyp-build 4.6.0
node-gyp-build 4.8.4
node-hid 3.3.0
node-html-parser 7.1.0
node-pty 1.1.0
node-releases 2.0.27
npm-run-path 4.0.1
nth-check 2.1.1
obj-case 0.2.1
objc-js 1.5.0
object-assign 4.1.1
object-inspect 1.13.4
on-finished 2.4.1
once 1.4.0
onetime 5.1.2
oniguruma-parser 0.12.1
oniguruma-to-es 4.3.4
open-simplex-noise 2.5.0
orderedmap 2.1.1
package-manager-detector 1.5.0
pako 1.0.11
pako 2.1.0
parseurl 1.3.3
path-browserify 1.0.1
path-data-parser 0.1.0
path-exists 5.0.0
path-key 3.1.1
path-to-regexp 8.3.0
pathe 2.0.3
pbf 4.0.1
pdfjs-dist 5.4.296
pg-int8 1.0.1
pg-protocol 1.10.3
pg-types 2.2.0
picocolors 1.1.1
picomatch 4.0.4
pify 4.0.1
pkce-challenge 5.0.0
pkg-prebuilds 1.0.0
pkg-types 1.3.1
pkg-types 2.3.0
points-on-curve 0.2.0
points-on-path 0.2.1
possible-typed-array-names 1.1.0
postgres-array 2.0.0
postgres-bytea 1.0.0
postgres-date 1.0.7
postgres-interval 1.2.0
potpack 2.1.0
preact 10.29.0
preact 11.0.0-beta.0
preact-render-to-string 6.6.5
prebuild-install 7.1.3
process 0.11.10
process-nextick-args 2.0.1
prompts 2.4.2
property-information 7.1.0
prosemirror-commands 1.7.1
prosemirror-gapcursor 1.4.1
prosemirror-history 1.5.0
prosemirror-keymap 1.2.3
prosemirror-model 1.25.4
prosemirror-state 1.4.4
prosemirror-transform 1.10.4
prosemirror-transform 1.12.0
prosemirror-view 1.41.8
protocol-buffers-schema 3.6.1
proxy-addr 2.0.7
pump 3.0.3
pupa 3.3.0
qs 6.14.0
qs 6.15.1
quansync 0.2.11
quickselect 3.0.0
range-parser 1.2.1
raw-body 3.0.1
rc 1.2.8
react 19.2.5
react-colorful 5.6.1
react-dom 19.2.5
react-intl 7.1.14
react-is 16.13.1
react-pdf 10.3.0
react-remove-scroll 2.7.1
react-remove-scroll-bar 2.3.8
react-router 7.13.1
react-router-dom 7.13.1
react-scan 0.5.3
react-style-singleton 2.2.3
readable-stream 2.3.8
readable-stream 3.6.2
readable-stream 4.7.0
regex 6.1.0
regex-recursion 6.0.2
regex-utilities 2.3.0
remark-gfm 4.0.1
remark-parse 11.0.0
remark-stringify 11.0.0
require-directory 2.1.1
require-from-string 2.0.2
require-in-the-middle 8.0.1
resolve-protobuf-schema 2.1.0
robust-predicates 2.0.4
robust-predicates 3.0.2
rope-sequence 1.3.4
roughjs 4.6.6
router 2.2.0
rrule 2.8.1
rw 1.3.3
safe-buffer 5.1.2
safe-buffer 5.2.1
safer-buffer 2.1.2
scheduler 0.27.0
semver 6.3.1
semver 7.7.4
send 1.2.0
serialport 12.0.0
serve-static 2.2.0
set-cookie-parser 2.7.1
set-function-length 1.2.2
setimmediate 1.0.5
setprototypeof 1.2.0
sha.js 2.4.12
shebang-command 2.0.0
shebang-regex 3.0.0
shiki 3.20.0
shlex 3.0.0
side-channel 1.1.0
side-channel-list 1.0.0
side-channel-map 1.0.1
side-channel-weakmap 1.0.2
signal-exit 3.0.7
simple-concat 1.0.1
simple-get 4.0.1
sisteransi 1.0.5
slice-ansi 5.0.0
smart-buffer 4.2.0
smol-toml 1.5.2
socks 2.8.7
socks-proxy-agent 8.0.5
sort-keys 1.1.2
sort-keys-length 1.0.1
space-separated-tokens 2.0.2
splaytree 0.1.4
ssf 0.11.2
ssh-config 5.1.0
statuses 2.0.1
statuses 2.0.2
string-width 4.2.3
string-width 7.2.0
string_decoder 1.1.1
string_decoder 1.3.0
stringify-entities 4.0.4
strip-ansi 6.0.1
strip-ansi 7.1.2
strip-final-newline 2.0.0
strip-json-comments 2.0.1
style-mod 4.1.3
stylis 4.3.6
supercluster 8.0.1
tar-fs 2.1.3
tar-stream 2.2.0
three 0.179.1
timers-ext 0.1.8
tiny-invariant 1.3.3
tinyexec 1.1.1
tinyqueue 3.0.0
tldts 7.0.29
tldts-core 7.0.29
to-buffer 1.2.2
toidentifier 1.0.1
tr46 0.0.3
trim-lines 3.0.1
trough 2.2.0
ts-dedent 2.2.0
tslib 2.8.1
tunnel-agent 0.6.0
type 2.7.3
type-is 2.0.1
typed-array-buffer 1.0.3
typescript 5.9.3
ufo 1.6.1
undici-types 6.21.0
unfetch 3.1.2
unfetch 4.2.0
unified 11.0.5
unist-util-is 6.0.0
unist-util-position 5.0.0
unist-util-stringify-position 4.0.0
unist-util-visit 5.0.0
unist-util-visit-parents 6.0.1
unpipe 1.0.0
unplugin 2.1.0
unused-filename 4.0.1
update-browserslist-db 1.2.3
upng-js 2.1.0
use-callback-ref 1.3.3
use-sidecar 1.1.3
use-sync-external-store 1.6.0
utf-8-validate 6.0.6
util-deprecate 1.0.2
uuid 11.1.0
uuid 13.0.0
vary 1.1.2
vfile 6.0.3
vfile-message 4.0.2
vscode-jsonrpc 8.2.0
vscode-languageserver 9.0.1
vscode-languageserver-protocol 3.17.5
vscode-languageserver-textdocument 1.0.12
vscode-languageserver-types 3.17.5
vscode-uri 3.0.8
vscode-uri 3.1.0
w3c-keyname 2.2.8
warning 4.0.3
webidl-conversions 3.0.1
webpack-virtual-modules 0.6.2
whatwg-url 5.0.0
which 2.0.2
which 4.0.0
which-typed-array 1.1.19
wrap-ansi 7.0.0
wrappy 1.0.2
ws 8.19.0
xtend 4.0.2
y-protocols 1.0.7
y18n 5.0.8
yallist 3.1.1
yaml 2.8.3
yargs 17.7.2
yargs-parser 21.1.1
yjs 13.6.27
zod 3.25.76
zod 4.1.13
zod 4.3.0
zod-to-json-schema 3.25.0
zod-to-json-schema 3.25.2
zustand 5.0.8
zwitch 2.0.4
